Normalized_ID,Raw_Term,Official_Term_Name,Status,Is_Valid_ID,Cleaned_Term_Used,Frequency_Count,Model,Ontology_Match_Check,Suggested_Error_Type,MANUAL_Is_Real_Term,MANUAL_Present_In_Note,MANUAL_Error_Type
HP:0002650,Scoliosis,Scoliosis,Exact Match,True,Scoliosis,10,sim2,True,None,True,,
HP:0001903,Anemia,Anemia,Exact Match,True,Anemia,10,sim2,True,None,True,,
HP:0000219,Thin upper lip vermilion,Thin upper lip vermilion,Exact Match,True,Thin upper lip vermilion,10,sim2,True,None,True,,
HP:0005280,Depressed nasal bridge,Depressed nasal bridge,Exact Match,True,Depressed nasal bridge,9,sim2,True,None,True,,
HP:0000098,Tall stature,Tall stature,Exact Match,True,Tall stature,9,sim2,True,None,True,,
HP:0001166,Arachnodactyly,Arachnodactyly,Exact Match,True,Arachnodactyly,9,sim2,True,None,True,,
HP:0000545,Myopia,Myopia,Exact Match,True,Myopia,9,sim2,True,None,True,,
HP:0000490,Deeply set eye,Deeply set eye,Exact Match,True,Deeply set eye,9,sim2,True,None,True,,
HP:0000218,High palate,High palate,Exact Match,True,High palate,9,sim2,True,None,True,,
HP:0001897,Normocytic anemia,Normocytic anemia,Exact Match,True,Normocytic anemia,8,sim2,True,None,True,,
HP:0002829,Arthralgia,Arthralgia,Exact Match,True,Arthralgia,8,sim2,True,None,True,,
HP:0001533,Slender build,Slender build,Exact Match,True,Slender build,8,sim2,True,None,True,,
HP:0001382,Joint hypermobility,Joint hypermobility,Exact Match,True,Joint hypermobility,7,sim2,True,None,True,,
HP:0100749,Chest pain,Chest pain,Exact Match,True,Chest pain,7,sim2,True,None,True,,
HP:0003418,Back pain,Back pain,Exact Match,True,Back pain,7,sim2,True,None,True,,
HP:0012771,Increased arm span,Increased arm span,Exact Match,True,Increased arm span,5,sim2,True,None,True,,
HP:0030148,Heart murmur,Heart murmur,Exact Match,True,Heart murmur,5,sim2,True,None,True,,
HP:0031667,Holosystolic murmur,Holosystolic murmur,Exact Match,True,Holosystolic murmur,5,sim2,True,None,True,,
HP:0000490,Deep-set eyes,Deeply set eye,Synonym,True,Deep-set eyes,5,sim2,True,None,True,,
HP:0000218,High-arched palate,High palate,Synonym,True,High-arched palate,4,sim2,True,None,True,,
HP:0011273,Anisocytosis,Anisocytosis,Exact Match,True,Anisocytosis,4,sim2,True,None,True,,
HP:0025091,Wrist sign,Wrist sign,Exact Match,True,Wrist sign,4,sim2,True,None,True,,
HP:0001627,Cardiac murmur,Abnormal heart morphology,Name Mismatch,True,Cardiac murmur,4,sim2,False,Check Mapping,False,,
HP:6001274,Thumb sign,Thumb sign,Exact Match,True,Thumb sign,4,sim2,True,None,True,,
HP:0000490,Deeply set eyes,Deeply set eye,Name Mismatch,True,Deeply set eyes,3,sim2,False,Check Mapping,False,,
HP:0000766,Abnormal sternum morphology,Abnormal sternum morphology,Exact Match,True,Abnormal sternum morphology,3,sim2,True,None,True,,
