Normalized_ID,Raw_Term,Official_Term_Name,Status,Is_Valid_ID,Cleaned_Term_Used,Frequency_Count,Model,Ontology_Match_Check,Suggested_Error_Type,MANUAL_Is_Real_Term,MANUAL_Present_In_Note,MANUAL_Error_Type,MANUAL_Present_In_Note_Evidence,MANUAL_Present_In_Note_Support
HP:0001627,Abnormal heart morphology,Abnormal heart morphology,Exact Match,TRUE,Abnormal heart morphology,1,sim2,TRUE,None,TRUE,FALSE,3,,
HP:0001627,Abnormal heart murmur,Abnormal heart morphology,Name Mismatch,TRUE,Abnormal heart murmur,1,sim2,FALSE,Check Mapping,FALSE,TRUE,1,"Cardio: RRR, holosystolic murmur",direct
HP:0001999,Abnormal heart sounds,Abnormal facial shape,Name Mismatch,TRUE,Abnormal heart sounds,1,sim2,FALSE,Check Mapping,FALSE,TRUE,1,"Cardio: RRR, holosystolic murmur",inferred
HP:0000766,Abnormal sternum morphology,Abnormal sternum morphology,Exact Match,TRUE,Abnormal sternum morphology,3,sim2,TRUE,None,TRUE,TRUE,0,"17-year-old male with multiple systemic features suggestive of Marfan syndrome, including tall stature with increased arm-span-to-height ratio, positive wrist/thumb signs, scoliosis, pectus deformity, myopia, and joint hypermobility.",direct
HP:0033481,Abnormal sternum morphology,Limited lateral neck flexion,Name Mismatch,TRUE,Abnormal sternum morphology,1,sim2,FALSE,Check Mapping,FALSE,TRUE,1,"17-year-old male with multiple systemic features suggestive of Marfan syndrome, including tall stature with increased arm-span-to-height ratio, positive wrist/thumb signs, scoliosis, pectus deformity, myopia, and joint hypermobility.",direct
HP:0000766,"Abnormal sternum morphology - DIRECT (""pectus deformity"" in assessment)",Abnormal sternum morphology,Name Mismatch,TRUE,Abnormal sternum morphology - DIRECT,1,sim2,FALSE,Check Mapping,FALSE,TRUE,1,"17-year-old male with multiple systemic features suggestive of Marfan syndrome, including tall stature with increased arm-span-to-height ratio, positive wrist/thumb signs, scoliosis, pectus deformity, myopia, and joint hypermobility.",direct
HP:0000766,"Abnormal sternum morphology (from ""pectus deformity"" in assessment) - Direct",Abnormal sternum morphology,Name Mismatch,TRUE,Abnormal sternum morphology - Direct,1,sim2,FALSE,Check Mapping,FALSE,TRUE,1,"17-year-old male with multiple systemic features suggestive of Marfan syndrome, including tall stature with increased arm-span-to-height ratio, positive wrist/thumb signs, scoliosis, pectus deformity, myopia, and joint hypermobility.",direct
HP:0000766,Abnormal sternum morphology (pectus deformity),Abnormal sternum morphology,Exact Match,TRUE,Abnormal sternum morphology,1,sim2,TRUE,None,TRUE,TRUE,0,"17-year-old male with multiple systemic features suggestive of Marfan syndrome, including tall stature with increased arm-span-to-height ratio, positive wrist/thumb signs, scoliosis, pectus deformity, myopia, and joint hypermobility.",direct
HP:0001637,Abnormal systolic heart murmur,Abnormal myocardium morphology,Name Mismatch,TRUE,Abnormal systolic heart murmur,1,sim2,FALSE,Check Mapping,FALSE,TRUE,1,"Cardio: RRR, holosystolic murmur",direct
HP:0030680,Abnormal systolic heart sound,Abnormal cardiovascular system morphology,Name Mismatch,TRUE,Abnormal systolic heart sound,1,sim2,FALSE,Check Mapping,FALSE,FALSE,1,,
