Normalized_ID,Raw_Term,Official_Term_Name,Status,Is_Valid_ID,Cleaned_Term_Used,Frequency_Count,Model,Ontology_Match_Check,Suggested_Error_Type,MANUAL_Is_Real_Term,MANUAL_Present_In_Note,MANUAL_Error_Type,MANUAL_Present_In_Note_Evidence,MANUAL_Present_In_Note_Support
HP:0000218,"(""High palate"", score 3) and HP_0002705 (""High, narrow palate"", score 8).",High palate,Name Mismatch,TRUE,and HP_0002705.,1,sim3,FALSE,Check Mapping,FALSE,FALSE,1,,
HP:0004349,"47,XX,+21",Reduced bone mineral density,Name Mismatch,TRUE,"47,XX,+21",1,sim3,FALSE,Check Mapping,FALSE,TRUE,1,"Karyotype (performed postnatally): 47,XX,+21 (trisomy 21), no mosaicism",direct
HP:0000118,Multiple congenital anomalies,Phenotypic abnormality,Name Mismatch,TRUE,Multiple congenital anomalies,1,sim3,FALSE,Check Mapping,FALSE,FALSE,0,,inferred
HP:0010614,Abnormal skin texture,Fibroma,Name Mismatch,TRUE,Abnormal skin texture,1,sim3,FALSE,Check Mapping,FALSE,TRUE,1,"Soft, velvety skin texture.",inferred
HP:0002715,Abnormality of chromosome 21,Abnormality of the immune system,Name Mismatch,TRUE,Abnormality of chromosome 21,1,sim3,FALSE,Check Mapping,FALSE,TRUE,1,"confirmed diagnosis of Down syndrome (trisomy 21) via postnatal karyotype (47,XX,+21).",direct
HP:0010984,Abnormality of chromosome number,Digenic inheritance,Name Mismatch,TRUE,Abnormality of chromosome number,1,sim3,FALSE,Check Mapping,FALSE,TRUE,1,"47,XX,+21 (trisomy 21)",direct
HP:0000377,Abnormality of the pinna,Abnormal pinna morphology,Name Mismatch,TRUE,Abnormality of the pinna,2,sim3,FALSE,Check Mapping,FALSE,TRUE,1,"HEENT: Brachycephaly, upslanting palpebral fissures, epicanthal folds, small ears, flat nasal bridge, protruding tongue, high arched palate.",direct
HP:0000389,Abnormality of the pinna,Chronic otitis media,Name Mismatch,TRUE,Abnormality of the pinna,1,sim3,FALSE,Check Mapping,FALSE,TRUE,1,"HEENT: Brachycephaly, upslanting palpebral fissures, epicanthal folds, small ears, flat nasal bridge, protruding tongue, high arched palate.",direct
HP:0009871,Abnormally small ear,,Invalid ID,FALSE,Abnormally small ear,1,sim3,FALSE,Invalid ID,FALSE,TRUE,1,small ears,direct
HP:0011462,Admission to neonatal intensive care unit,Young adult onset,Name Mismatch,TRUE,Admission to neonatal intensive care unit,1,sim3,FALSE,Check Mapping,FALSE,TRUE,1,She spent 5 days in the NICU for mild respiratory distress and feeding difficulties.,direct
