Normalized_ID,Raw_Term,Official_Term_Name,Status,Is_Valid_ID,Cleaned_Term_Used,Frequency_Count,Model,Ontology_Match_Check,Suggested_Error_Type,MANUAL_Is_Real_Term,MANUAL_Present_In_Note,MANUAL_Error_Type
HP:0001263,Global developmental delay,Global developmental delay,Exact Match,True,Global developmental delay,10,sim3,True,None,True,,
HP:0000821,Hypothyroidism,Hypothyroidism,Exact Match,True,Hypothyroidism,10,sim3,True,None,True,,
HP:0000248,Brachycephaly,Brachycephaly,Exact Match,True,Brachycephaly,9,sim3,True,None,True,,
HP:0000470,Short neck,Short neck,Exact Match,True,Short neck,9,sim3,True,None,True,,
HP:0004209,Clinodactyly of the 5th finger,Clinodactyly of the 5th finger,Exact Match,True,Clinodactyly of the 5th finger,9,sim3,True,None,True,,
HP:0000218,High palate,High palate,Exact Match,True,High palate,9,sim3,True,None,True,,
HP:0005280,Depressed nasal bridge,Depressed nasal bridge,Exact Match,True,Depressed nasal bridge,9,sim3,True,None,True,,
HP:0000286,Epicanthus,Epicanthus,Exact Match,True,Epicanthus,9,sim3,True,None,True,,
HP:0000954,Single transverse palmar crease,Single transverse palmar crease,Exact Match,True,Single transverse palmar crease,9,sim3,True,None,True,,
HP:0001270,Motor delay,Motor delay,Exact Match,True,Motor delay,9,sim3,True,None,True,,
HP:0000750,Delayed speech and language development,Delayed speech and language development,Exact Match,True,Delayed speech and language development,9,sim3,True,None,True,,
HP:0002194,Delayed gross motor development,Delayed gross motor development,Exact Match,True,Delayed gross motor development,8,sim3,True,None,True,,
HP:0001252,Hypotonia,Hypotonia,Exact Match,True,Hypotonia,8,sim3,True,None,True,,
HP:0010808,Protruding tongue,Protruding tongue,Exact Match,True,Protruding tongue,8,sim3,True,None,True,,
HP:0001290,Generalized hypotonia,Generalized hypotonia,Exact Match,True,Generalized hypotonia,8,sim3,True,None,True,,
HP:0000582,Upslanted palpebral fissure,Upslanted palpebral fissure,Exact Match,True,Upslanted palpebral fissure,8,sim3,True,None,True,,
HP:0002643,Neonatal respiratory distress,Neonatal respiratory distress,Exact Match,True,Neonatal respiratory distress,7,sim3,True,None,True,,
HP:0008551,Microtia,Microtia,Exact Match,True,Microtia,7,sim3,True,None,True,,
HP:0010880,Increased nuchal translucency,Increased nuchal translucency,Exact Match,True,Increased nuchal translucency,7,sim3,True,None,True,,
HP:0000977,Soft skin,Soft skin,Exact Match,True,Soft skin,6,sim3,True,None,True,,
HP:0008872,Feeding difficulties in infancy,Feeding difficulties in infancy,Exact Match,True,Feeding difficulties in infancy,6,sim3,True,None,True,,
HP:0001252,Muscular hypotonia,Hypotonia,Synonym,True,Muscular hypotonia,5,sim3,True,None,True,,
HP:0025336,Delayed ability to sit,Delayed ability to sit,Exact Match,True,Delayed ability to sit,5,sim3,True,None,True,,
HP:0000218,High-arched palate,High palate,Synonym,True,High-arched palate,5,sim3,True,None,True,,
HP:0011968,Feeding difficulties,Feeding difficulties,Exact Match,True,Feeding difficulties,5,sim3,True,None,True,,
HP:0000158,Macroglossia,Macroglossia,Exact Match,True,Macroglossia,5,sim3,True,None,True,,
HP:0007598,Bilateral single transverse palmar creases,Bilateral single transverse palmar creases,Exact Match,True,Bilateral single transverse palmar creases,4,sim3,True,None,True,,
HP:0000832,Primary hypothyroidism,Primary hypothyroidism,Exact Match,True,Primary hypothyroidism,4,sim3,True,None,True,,
HP:0008551,Small ear,Microtia,Name Mismatch,True,Small ear,4,sim3,False,Check Mapping,False,,
HP:0001319,Neonatal hypotonia,Neonatal hypotonia,Exact Match,True,Neonatal hypotonia,4,sim3,True,None,True,,
HP:0000286,Epicanthal fold,Epicanthus,Synonym,True,Epicanthal fold,4,sim3,True,None,True,,
HP:0002098,Respiratory distress,Respiratory distress,Exact Match,True,Respiratory distress,3,sim3,True,None,True,,
HP:0000582,Upslanting palpebral fissures,Upslanted palpebral fissure,Synonym,True,Upslanting palpebral fissures,3,sim3,True,None,True,,
HP:0000582,Upslanting palpebral fissure,Upslanted palpebral fissure,Name Mismatch,True,Upslanting palpebral fissure,3,sim3,False,Check Mapping,False,,
HP:0000286,Epicanthal folds,Epicanthus,Synonym,True,Epicanthal folds,3,sim3,True,None,True,,
