Normalized_ID,Raw_Term,Official_Term_Name,Status,Is_Valid_ID,Cleaned_Term_Used,Frequency_Count,Model,Ontology_Match_Check,Suggested_Error_Type,MANUAL_Is_Real_Term,MANUAL_Present_In_Note,MANUAL_Error_Type
HP:0000252,Microcephaly,Microcephaly,Exact Match,True,Microcephaly,9,sim4,True,None,True,,
HP:0000347,Micrognathia,Micrognathia,Exact Match,True,Micrognathia,8,sim4,True,None,True,,
HP:0001511,Intrauterine growth retardation,Intrauterine growth retardation,Exact Match,True,Intrauterine growth retardation,8,sim4,True,None,True,,
HP:0001629,Ventricular septal defect,Ventricular septal defect,Exact Match,True,Ventricular septal defect,8,sim4,True,None,True,,
HP:0001942,Metabolic acidosis,Metabolic acidosis,Exact Match,True,Metabolic acidosis,8,sim4,True,None,True,,
HP:0000340,Sloping forehead,Sloping forehead,Exact Match,True,Sloping forehead,8,sim4,True,None,True,,
HP:0001518,Small for gestational age,Small for gestational age,Exact Match,True,Small for gestational age,8,sim4,True,None,True,,
HP:0004322,Short stature,Short stature,Exact Match,True,Short stature,8,sim4,True,None,True,,
HP:0001640,Cardiomegaly,Cardiomegaly,Exact Match,True,Cardiomegaly,7,sim4,True,None,True,,
HP:0000062,Ambiguous genitalia,Ambiguous genitalia,Exact Match,True,Ambiguous genitalia,6,sim4,True,None,True,,
HP:0006610,Wide intermamillary distance,Wide intermamillary distance,Exact Match,True,Wide intermamillary distance,6,sim4,True,None,True,,
HP:0011682,Perimembranous ventricular septal defect,Perimembranous ventricular septal defect,Exact Match,True,Perimembranous ventricular septal defect,6,sim4,True,None,True,,
HP:0006610,Widely spaced nipples,Wide intermamillary distance,Synonym,True,Widely spaced nipples,5,sim4,True,None,True,,
HP:0003128,Lactic acidosis,Lactic acidosis,Exact Match,True,Lactic acidosis,5,sim4,True,None,True,,
HP:0000059,Hypoplastic labia majora,Hypoplastic labia majora,Exact Match,True,Hypoplastic labia majora,5,sim4,True,None,True,,
HP:0000069,Labial fusion,Abnormality of the ureter,Name Mismatch,True,Labial fusion,4,sim4,False,Check Mapping,False,,
HP:0002643,Neonatal respiratory distress,Neonatal respiratory distress,Exact Match,True,Neonatal respiratory distress,4,sim4,True,None,True,,
HP:0001649,Aortic valve hypoplasia,Tachycardia,Name Mismatch,True,Aortic valve hypoplasia,4,sim4,False,Check Mapping,False,,
HP:0031956,Elevated circulating aspartate aminotransferase concentration,Elevated circulating aspartate aminotransferase concentration,Exact Match,True,Elevated circulating aspartate aminotransferase concentration,4,sim4,True,None,True,,
HP:0032092,Left ventricular outflow tract obstruction,Left ventricular outflow tract obstruction,Exact Match,True,Left ventricular outflow tract obstruction,4,sim4,True,None,True,,
HP:0008665,Clitoral hypertrophy,Clitoral hypertrophy,Exact Match,True,Clitoral hypertrophy,4,sim4,True,None,True,,
HP:0012304,Hypoplastic aortic arch,Hypoplastic aortic arch,Exact Match,True,Hypoplastic aortic arch,4,sim4,True,None,True,,
HP:0000061,"Ambiguous genitalia, female","Ambiguous genitalia, female",Exact Match,True,"Ambiguous genitalia, female",4,sim4,True,None,True,,
HP:0200128,Biventricular hypertrophy,Biventricular hypertrophy,Exact Match,True,Biventricular hypertrophy,4,sim4,True,None,True,,
HP:0001680,Coarctation of aorta,Coarctation of aorta,Exact Match,True,Coarctation of aorta,4,sim4,True,None,True,,
HP:0002098,Respiratory distress,Respiratory distress,Exact Match,True,Respiratory distress,4,sim4,True,None,True,,
HP:0002910,Elevated hepatic transaminase,Elevated circulating hepatic transaminase concentration,Name Mismatch,True,Elevated hepatic transaminase,4,sim4,False,Check Mapping,False,,
HP:0002151,Increased serum lactate,Increased circulating lactate concentration,Synonym,True,Increased serum lactate,4,sim4,True,None,True,,
HP:0031664,Systolic heart murmur,Systolic heart murmur,Exact Match,True,Systolic heart murmur,3,sim4,True,None,True,,
HP:0001511,Intrauterine growth restriction,Intrauterine growth retardation,Synonym,True,Intrauterine growth restriction,3,sim4,True,None,True,,
HP:0001714,Biventricular hypertrophy,Ventricular hypertrophy,Name Mismatch,True,Biventricular hypertrophy,3,sim4,False,Check Mapping,False,,
HP:0000085,Labial fusion,Horseshoe kidney,Name Mismatch,True,Labial fusion,3,sim4,False,Check Mapping,False,,
HP:0001714,Ventricular hypertrophy,Ventricular hypertrophy,Exact Match,True,Ventricular hypertrophy,3,sim4,True,None,True,,
HP:0000064,Labial fusion,Hypoplastic labia minora,Name Mismatch,True,Labial fusion,3,sim4,False,Check Mapping,False,,
HP:0001511,Fetal growth restriction,Intrauterine growth retardation,Synonym,True,Fetal growth restriction,3,sim4,True,None,True,,
HP:0002151,Lactic acidosis,Increased circulating lactate concentration,Name Mismatch,True,Lactic acidosis,3,sim4,False,Check Mapping,False,,
HP:0001518,Low birth weight,Small for gestational age,Synonym,True,Low birth weight,3,sim4,True,None,True,,
HP:0001713,Biventricular hypertrophy,Abnormal cardiac ventricle morphology,Name Mismatch,True,Biventricular hypertrophy,3,sim4,False,Check Mapping,False,,
HP:0003508,Proportionate short stature,Proportionate short stature,Exact Match,True,Proportionate short stature,3,sim4,True,None,True,,
HP:0000068,Labial fusion,Urethral atresia,Name Mismatch,True,Labial fusion,3,sim4,False,Check Mapping,False,,
HP:0002151,Increased circulating lactate concentration,Increased circulating lactate concentration,Exact Match,True,Increased circulating lactate concentration,3,sim4,True,None,True,,
HP:0004383,Hypoplastic left heart,Hypoplastic left heart,Exact Match,True,Hypoplastic left heart,3,sim4,True,None,True,,
HP:0004325,Decreased body weight,Decreased body weight,Exact Match,True,Decreased body weight,3,sim4,True,None,True,,
HP:0020206,Simple ear,Simple ear,Exact Match,True,Simple ear,3,sim4,True,None,True,,
HP:0000069,Posterior labial fusion,Abnormality of the ureter,Name Mismatch,True,Posterior labial fusion,3,sim4,False,Check Mapping,False,,
HP:0001974,Leukocytosis,Increased total leukocyte count,Synonym,True,Leukocytosis,3,sim4,True,None,True,,
HP:0008665,Clitoromegaly,Clitoral hypertrophy,Synonym,True,Clitoromegaly,3,sim4,True,None,True,,
HP:0000377,Simplified helix,Abnormal pinna morphology,Name Mismatch,True,Simplified helix,3,sim4,False,Check Mapping,False,,
HP:0011611,Interrupted aortic arch,Interrupted aortic arch,Exact Match,True,Interrupted aortic arch,3,sim4,True,None,True,,
HP:0002910,Elevated circulating aspartate aminotransferase concentration,Elevated circulating hepatic transaminase concentration,Name Mismatch,True,Elevated circulating aspartate aminotransferase concentration,3,sim4,False,Check Mapping,False,,
HP:0000059,Hypoplasia of the labia majora,Hypoplastic labia majora,Name Mismatch,True,Hypoplasia of the labia majora,3,sim4,False,Check Mapping,False,,
HP:0002910,Elevated circulating hepatic transaminase concentration,Elevated circulating hepatic transaminase concentration,Exact Match,True,Elevated circulating hepatic transaminase concentration,3,sim4,True,None,True,,
HP:0004934,Hypoplasia of the aortic arch,Vascular calcification,Name Mismatch,True,Hypoplasia of the aortic arch,2,sim4,False,Check Mapping,False,,
HP:0004940,Hypoplasia of the aortic arch,Generalized arterial calcification,Name Mismatch,True,Hypoplasia of the aortic arch,2,sim4,False,Check Mapping,False,,
HP:0001657,Hypoplastic aortic valve,Prolonged QT interval,Name Mismatch,True,Hypoplastic aortic valve,2,sim4,False,Check Mapping,False,,
HP:0001974,Increased total leukocyte count,Increased total leukocyte count,Exact Match,True,Increased total leukocyte count,2,sim4,True,None,True,,
HP:0001657,Aortic valve hypoplasia,Prolonged QT interval,Name Mismatch,True,Aortic valve hypoplasia,2,sim4,False,Check Mapping,False,,
HP:0004325,Underweight,Decreased body weight,Name Mismatch,True,Underweight,2,sim4,False,Check Mapping,False,,
HP:0001659,Aortic valve hypoplasia,Aortic regurgitation,Name Mismatch,True,Aortic valve hypoplasia,2,sim4,False,Check Mapping,False,,
HP:0010892,Aortic valve hypoplasia,Abnormal circulating branched chain amino acid concentration,Name Mismatch,True,Aortic valve hypoplasia,2,sim4,False,Check Mapping,False,,
HP:0001697,Left ventricular outflow tract obstruction,Abnormal pericardium morphology,Name Mismatch,True,Left ventricular outflow tract obstruction,2,sim4,False,Check Mapping,False,,
HP:0010884,Aortic valve hypoplasia,Acromelia,Name Mismatch,True,Aortic valve hypoplasia,2,sim4,False,Check Mapping,False,,
HP:0001655,Hypoplastic aortic valve,Patent foramen ovale,Name Mismatch,True,Hypoplastic aortic valve,2,sim4,False,Check Mapping,False,,
